Speaker_name,Count,Speaker_age_at_recording,Speaker_gender,Speaker_age_group,gender_age_group,path
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.sR_p6PbQPeI_5344.85-5355.82.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.4I1CHN8ZRCA_4596.31-4613.02.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.MbZGxmmrF-I_8560.27-8579.93.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.sR_p6PbQPeI_11253.31-11272.95.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.MbZGxmmrF-I_7900.56-7912.7.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.bB87qD5RT-Y_9596.5-9612.32.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.AFkWUHpNZW8_13306.25-13325.62.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.4qO7uQibO00_3558.5-3575.69.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.MbZGxmmrF-I_7804.32-7823.3.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.sR_p6PbQPeI_11343.11-11362.41.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.bB87qD5RT-Y_8179.83-8194.64.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.aK2XWyzkG94_10332.82-10347.47.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.4I1CHN8ZRCA_5064.18-5083.98.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.sR_p6PbQPeI_7196.82-7212.84.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.2Z4W7McjAVw_15069.47-15089.39.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.bB87qD5RT-Y_4764.6-4778.03.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.sR_p6PbQPeI_5481.24-5498.44.wav
"Marić, Goran",617,59.0,M,old,M_old,data_age/seg.bB87qD5RT-Y_3661.07-3670.83.wav
